Freq.	V(d5+)	V(d5u)
1.28528665994361e+000	(-5.40816203150306e+001dB,7.90471835231908e-004°)	(-6.11477735597076e+001dB,7.84565977965315e-004°)
1.28824955169313e+000	(-5.40816203150346e+001dB,7.92294061007002e-004°)	(-6.11477735597034e+001dB,7.86374589332100e-004°)
1.29121927361353e+000	(-5.40816203150307e+001dB,7.94120487444919e-004°)	(-6.11477735596995e+001dB,7.88187369978688e-004°)
1.29419584144998e+000	(-5.40816203150113e+001dB,7.95951124229305e-004°)	(-6.11477735596958e+001dB,7.90004329516250e-004°)
1.29717927098395e+000	(-5.40816203150152e+001dB,7.97785981069610e-004°)	(-6.11477735596919e+001dB,7.91825477578129e-004°)
1.30016957803328e+000	(-5.40816203150191e+001dB,7.99625067691324e-004°)	(-6.11477735596886e+001dB,7.93650823819885e-004°)
1.30316677845229e+000	(-5.40816203150074e+001dB,8.01468393845061e-004°)	(-6.11477735596843e+001dB,7.95480377919254e-004°)
1.30617088813183e+000	(-5.40816203150113e+001dB,8.03315969304374e-004°)	(-6.11477735596809e+001dB,7.97314149576433e-004°)
1.30918192299940e+000	(-5.40816203150152e+001dB,8.05167803866399e-004°)	(-6.11477735596775e+001dB,7.99152148513873e-004°)
1.31219989901920e+000	(-5.40816203149878e+001dB,8.07023907344468e-004°)	(-6.11477735596726e+001dB,8.00994384476375e-004°)
1.31522483219223e+000	(-5.40816203150228e+001dB,8.08884289588512e-004°)	(-6.11477735596687e+001dB,8.02840867231412e-004°)
1.31825673855640e+000	(-5.40816203149954e+001dB,8.10748960450770e-004°)	(-6.11477735596648e+001dB,8.04691606568807e-004°)
1.32129563418657e+000	(-5.40816203149914e+001dB,8.12617929826144e-004°)	(-6.11477735596608e+001dB,8.06546612300993e-004°)
1.32434153519466e+000	(-5.40816203149796e+001dB,8.14491207620269e-004°)	(-6.11477735596569e+001dB,8.08405894263025e-004°)
1.32739445772973e+000	(-5.40816203150224e+001dB,8.16368803769843e-004°)	(-6.11477735596529e+001dB,8.10269462312635e-004°)
1.33045441797808e+000	(-5.40816203149871e+001dB,8.18250728219125e-004°)	(-6.11477735596488e+001dB,8.12137326330257e-004°)
1.33352143216332e+000	(-5.40816203149830e+001dB,8.20136990954876e-004°)	(-6.11477735596448e+001dB,8.14009496219150e-004°)
1.33659551654643e+000	(-5.40816203149711e+001dB,8.22027601974210e-004°)	(-6.11477735596417e+001dB,8.15885981905394e-004°)
1.33967668742593e+000	(-5.40816203149591e+001dB,8.23922571302434e-004°)	(-6.11477735596377e+001dB,8.17766793337854e-004°)
1.34276496113786e+000	(-5.40816203149628e+001dB,8.25821908987083e-004°)	(-6.11477735596326e+001dB,8.19651940488397e-004°)
1.34586035405594e+000	(-5.40816203149664e+001dB,8.27725625098327e-004°)	(-6.11477735596294e+001dB,8.21541433352017e-004°)
1.34896288259164e+000	(-5.40816203149622e+001dB,8.29633729727135e-004°)	(-6.11477735596244e+001dB,8.23435281946447e-004°)
