Freq.	V(ol5)	V(ol9)	V(ol10)	V(ol12)	V(ol15)	V(ol20)
1.12460497396692e+000	(5.96020432176685e+001dB,-8.28419132703659e-004°)	(6.12205126141667e+001dB,-9.03227269654023e-004°)	(6.16512390188621e+001dB,-9.28588632942378e-004°)	(6.25489879337056e+001dB,-9.87682368381295e-004°)	(6.40062204666735e+001dB,-1.10161458961418e-003°)	(6.68651815002512e+001dB,-1.39797372764403e-003°)
1.12719745617551e+000	(5.96020432176643e+001dB,-8.30328836032560e-004°)	(6.12205126141639e+001dB,-9.05309423548895e-004°)	(6.16512390188575e+001dB,-9.30729250817454e-004°)	(6.25489879337004e+001dB,-9.89959211385383e-004°)	(6.40062204666675e+001dB,-1.10415407351288e-003°)	(6.68651815002358e+001dB,-1.40119638991106e-003°)
1.12979591467280e+000	(5.96020432176461e+001dB,-8.32242941680961e-004°)	(6.12205126141589e+001dB,-9.07396377303992e-004°)	(6.16512390188537e+001dB,-9.32874803326425e-004°)	(6.25489879336930e+001dB,-9.92241303054428e-004°)	(6.40062204666608e+001dB,-1.10669941152646e-003°)	(6.68651815002238e+001dB,-1.40442648118241e-003°)
1.13240036323556e+000	(5.96020432175665e+001dB,-8.34161459792745e-004°)	(6.12205126141539e+001dB,-9.09488141984361e-004°)	(6.16512390188341e+001dB,-9.35025301843055e-004°)	(6.25489879336877e+001dB,-9.94528655488310e-004°)	(6.40062204666519e+001dB,-1.10925061714990e-003°)	(6.68651815002153e+001dB,-1.40766401858370e-003°)
1.13501081567231e+000	(5.96020432175623e+001dB,-8.36084400552702e-004°)	(6.12205126141482e+001dB,-9.11584728680235e-004°)	(6.16512390188302e+001dB,-9.37180757772432e-004°)	(6.25489879336838e+001dB,-9.96821280814283e-004°)	(6.40062204666479e+001dB,-1.11180770391028e-003°)	(6.68651815001892e+001dB,-1.41090901927668e-003°)
1.13762728582343e+000	(5.96020432175602e+001dB,-8.38011774149133e-004°)	(6.12205126141460e+001dB,-9.13686148507964e-004°)	(6.16512390188377e+001dB,-9.39341182542123e-004°)	(6.25489879336756e+001dB,-9.99119191186976e-004°)	(6.40062204666411e+001dB,-1.11437068536410e-003°)	(6.68651815001799e+001dB,-1.41416150047149e-003°)
1.14024978756117e+000	(5.96020432175545e+001dB,-8.39943590800213e-004°)	(6.12205126141402e+001dB,-9.15792412608328e-004°)	(6.16512390188316e+001dB,-9.41506587603792e-004°)	(6.25489879336688e+001dB,-1.00142239879032e-003°)	(6.40062204666321e+001dB,-1.11693957510007e-003°)	(6.68651815001642e+001dB,-1.41742147940880e-003°)
1.14287833478977e+000	(5.96020432175494e+001dB,-8.41879860748657e-004°)	(6.12205126141344e+001dB,-9.17903532148885e-004°)	(6.16512390188133e+001dB,-9.43676984438351e-004°)	(6.25489879336634e+001dB,-1.00373091583568e-003°)	(6.40062204666252e+001dB,-1.11951438673873e-003°)	(6.68651815001492e+001dB,-1.42068897337378e-003°)
1.14551294144553e+000	(5.96020432175459e+001dB,-8.43820594260472e-004°)	(6.12205126141278e+001dB,-9.20019518322525e-004°)	(6.16512390188079e+001dB,-9.45852384555727e-004°)	(6.25489879336580e+001dB,-1.00604475456244e-003°)	(6.40062204666183e+001dB,-1.12209513393123e-003°)	(6.68651815001389e+001dB,-1.42396399969104e-003°)
1.14815362149688e+000	(5.96020432175423e+001dB,-8.45765801625068e-004°)	(6.12205126141248e+001dB,-9.22140382348430e-004°)	(6.16512390188010e+001dB,-9.48032799488113e-004°)	(6.25489879336525e+001dB,-1.00836392723833e-003°)	(6.40062204666092e+001dB,-1.12468183036015e-003°)	(6.68651815001273e+001dB,-1.42724657572345e-003°)
