time	V(n001)
2.443605613332091e-007	7.572325e+000
2.492634184693619e-007	7.859393e+000
2.541662756055147e-007	8.142265e+000
2.590691327416675e-007	8.420940e+000
2.639719898778203e-007	8.695418e+000
2.656691327326425e-007	8.789393e+000
2.673662755874646e-007	8.882809e+000
2.690634184422867e-007	8.975666e+000
2.707605612971088e-007	9.067964e+000
2.724577041519310e-007	9.159704e+000
2.741548470067531e-007	9.250885e+000
2.758519898615752e-007	9.341507e+000
2.771719898597702e-007	9.411547e+000
2.784919898579652e-007	9.481201e+000
2.824519898525502e-007	9.687704e+000
2.837719898507451e-007	9.755508e+000
2.850919898489401e-007	9.821767e+000
2.864119898471351e-007	9.884226e+000
2.877319898453301e-007	9.940428e+000
2.890519898435251e-007	9.989656e+000
2.902865319787118e-007	1.002974e+001
2.916065319769068e-007	1.006634e+001
2.929265319751018e-007	1.009644e+001
2.938099167848485e-007	1.011229e+001
2.945942090826215e-007	1.012331e+001
2.952677947143378e-007	1.013098e+001
2.959679533121040e-007	1.013700e+001
2.967116274343873e-007	1.014047e+001
2.973401624362104e-007	1.013995e+001
2.979381993895025e-007	1.013599e+001
2.985931702448319e-007	1.012878e+001
2.992827504155748e-007	1.011912e+001
3.001505957667128e-007	1.010443e+001
3.012815356639997e-007	1.008079e+001
3.020534024567034e-007	1.006012e+001
3.027551525591754e-007	1.003682e+001
3.034865808104748e-007	1.000966e+001
3.048065808086697e-007	9.962145e+000
3.061265808068647e-007	9.926168e+000
3.074465808050597e-007	9.910666e+000
3.087665808032547e-007	9.918015e+000
3.100865808014497e-007	9.942959e+000
3.114065807996447e-007	9.975800e+000
3.127265807978397e-007	1.000672e+001
3.140465807960347e-007	1.002840e+001
3.153665807942296e-007	1.003606e+001
3.166865807924246e-007	1.002635e+001
3.180065807906196e-007	9.999672e+000
3.193265807888146e-007	9.964584e+000
3.206465807870096e-007	9.934988e+000
3.219665807852046e-007	9.921972e+000
3.232865807833996e-007	9.929010e+000
3.246065807815945e-007	9.951998e+000
3.259265807797895e-007	9.982039e+000
3.272465807779845e-007	1.000907e+001
3.285665807761795e-007	1.002472e+001
3.298865807743745e-007	1.002824e+001
3.299999999373249e-007	1.002773e+001
